ablation,ablation_protocol,channel,mode,psnr_mean,psnr_std,psnr_p10,psnr_p05,ssim_mean,ssim_std,ssim_p10,ssim_p05,latent_cosine_mean,latent_cosine_std,latent_cosine_p10,latent_cosine_p05,latent_cka_mean,latent_cka_std,latent_cka_p10,latent_cka_p05
baseline,posthoc_eval_only,awgn,baseline,18.390522003173828,0.7173916101455688,17.547649383544922,17.243038177490234,0.2945338189601898,0.044796172529459,0.24085986614227295,0.227211132645607,0.9997517466545105,2.2412812541006133e-05,0.9997209906578064,0.9997089505195618,0.9237262010574341,0.04171155393123627,0.8725197911262512,0.8569279313087463
baseline,posthoc_eval_only,rayleigh,baseline,17.92535972595215,1.5018161535263062,16.675506591796875,15.307525634765625,0.2805798351764679,0.05165088176727295,0.22046838700771332,0.1982470601797104,0.999751627445221,2.369586582062766e-05,0.9997228980064392,0.9997085332870483,0.9261676669120789,0.039613865315914154,0.8762392997741699,0.8537110090255737
baseline,posthoc_eval_only,rician,baseline,18.29509162902832,0.8104622960090637,17.306270599365234,16.98687171936035,0.2902661859989166,0.04492514207959175,0.2350875288248062,0.22100335359573364,0.9997541904449463,2.070047048619017e-05,0.9997285604476929,0.9997161030769348,0.928076982498169,0.03647102415561676,0.8730213046073914,0.8497641682624817
baseline,posthoc_eval_only,tdl,baseline,18.182714462280273,0.892084538936615,17.15542221069336,16.765727996826172,0.2875578701496124,0.04546816647052765,0.23206748068332672,0.21795640885829926,0.9997539520263672,2.1311276213964447e-05,0.999726414680481,0.9997142553329468,0.9269397258758545,0.0353814959526062,0.8758002519607544,0.8539261817932129
baseline,posthoc_eval_only,cdl,baseline,18.36607551574707,0.7708747982978821,17.49909019470215,17.248685836791992,0.2921121120452881,0.04470091313123703,0.23837195336818695,0.22388821840286255,0.9997549057006836,2.0377012333483435e-05,0.9997291564941406,0.9997177720069885,0.9224333763122559,0.04388607665896416,0.8600267171859741,0.8399010896682739
baseline,posthoc_eval_only,urban,baseline,18.01127815246582,1.0121709108352661,16.854930877685547,16.398406982421875,0.28404316306114197,0.045158326625823975,0.2288736253976822,0.21577146649360657,0.9997527599334717,2.145682810805738e-05,0.9997259378433228,0.9997137188911438,0.9214050769805908,0.04422476887702942,0.8638851642608643,0.8355469107627869
baseline,posthoc_eval_only,rural,baseline,17.914657592773438,0.9635399580001831,16.784528732299805,16.31072425842285,0.2831633687019348,0.044361602514982224,0.22980622947216034,0.21604378521442413,0.9997522234916687,2.153991772502195e-05,0.9997254610061646,0.9997121691703796,0.9248634576797485,0.03843500837683678,0.876473069190979,0.8513017892837524
baseline,posthoc_eval_only,highway,baseline,17.977672576904297,0.795011043548584,16.995346069335938,16.690004348754883,0.28138646483421326,0.04505378380417824,0.2273697555065155,0.21357861161231995,0.9997485876083374,2.170819425373338e-05,0.9997208118438721,0.9997074007987976,0.9255707263946533,0.03796025365591049,0.8776859045028687,0.8491932153701782
baseline,posthoc_eval_only,umi,baseline,18.202619552612305,0.908738374710083,17.180927276611328,16.806800842285156,0.28804925084114075,0.04504529386758804,0.23327255249023438,0.2184380441904068,0.9997537136077881,2.0791354472748935e-05,0.9997282028198242,0.9997153282165527,0.9287129640579224,0.036622390151023865,0.8810850977897644,0.8644101619720459
baseline,posthoc_eval_only,uma,baseline,18.073740005493164,0.9091821312904358,16.999263763427734,16.532987594604492,0.28451478481292725,0.04412265121936798,0.2320326864719391,0.21753652393817902,0.9997533559799194,2.122310979757458e-05,0.9997270107269287,0.9997156858444214,0.9259140491485596,0.03787140175700188,0.8736115097999573,0.8585821390151978
tokenizer_cond,posthoc_eval_only,awgn,tokenizer_cond,17.30048942565918,0.6053303480148315,16.616878509521484,16.43367576599121,0.2514919340610504,0.04318436607718468,0.19997809827327728,0.18782983720302582,0.9996859431266785,2.1271913283271715e-05,0.9996610879898071,0.9996494054794312,0.898936927318573,0.052385181188583374,0.8317222595214844,0.8153033256530762
tokenizer_cond,posthoc_eval_only,rayleigh,tokenizer_cond,17.04277801513672,0.9946414232254028,16.26814842224121,15.832602500915527,0.23539204895496368,0.04580415412783623,0.18311290442943573,0.16557681560516357,0.9996868968009949,2.3181908545666374e-05,0.9996584057807922,0.9996442794799805,0.9028611183166504,0.051199737936258316,0.8318605422973633,0.8120183944702148
tokenizer_cond,posthoc_eval_only,rician,tokenizer_cond,17.22579002380371,0.614309549331665,16.497371673583984,16.31033706665039,0.24192771315574646,0.04156613349914551,0.19194906949996948,0.1786358505487442,0.9996886253356934,2.0771731215063483e-05,0.9996631145477295,0.9996525049209595,0.9032960534095764,0.04801609367132187,0.8301880359649658,0.800147533416748
tokenizer_cond,posthoc_eval_only,tdl,tokenizer_cond,17.089683532714844,0.7451167106628418,16.29765510559082,15.98279857635498,0.2397707849740982,0.0418870784342289,0.18927568197250366,0.17819388210773468,0.9996880888938904,2.1133841073606163e-05,0.9996618032455444,0.9996501803398132,0.9018218517303467,0.046493157744407654,0.8405253887176514,0.8136735558509827
tokenizer_cond,posthoc_eval_only,cdl,tokenizer_cond,17.254629135131836,0.6288512349128723,16.548730850219727,16.357351303100586,0.2441549152135849,0.042128924280405045,0.19422923028469086,0.1817941665649414,0.9996889233589172,2.0871098968200386e-05,0.9996631145477295,0.9996521472930908,0.8962531089782715,0.05681734159588814,0.8156735897064209,0.795304000377655
tokenizer_cond,posthoc_eval_only,urban,tokenizer_cond,16.973806381225586,0.7981957197189331,16.092660903930664,15.674861907958984,0.23690801858901978,0.042972467839717865,0.18429851531982422,0.17360861599445343,0.9996870756149292,2.1853566067875363e-05,0.9996595978736877,0.9996480345726013,0.8957770466804504,0.05562981218099594,0.8159443140029907,0.7876120805740356
tokenizer_cond,posthoc_eval_only,rural,tokenizer_cond,16.845916748046875,0.8277132511138916,15.935563087463379,15.451662063598633,0.23633494973182678,0.04209964722394943,0.18723179399967194,0.17090566456317902,0.9996859431266785,2.1661322534782812e-05,0.9996585845947266,0.9996466636657715,0.8997036218643188,0.04998265206813812,0.8338350057601929,0.8049814105033875
tokenizer_cond,posthoc_eval_only,highway,tokenizer_cond,17.0186767578125,0.6305818557739258,16.278120040893555,16.06760025024414,0.2377167046070099,0.04191887751221657,0.18734048306941986,0.17583531141281128,0.9996857643127441,2.0847419364145026e-05,0.9996585845947266,0.9996485710144043,0.8993886113166809,0.049012597650289536,0.8355995416641235,0.7987155914306641
tokenizer_cond,posthoc_eval_only,umi,tokenizer_cond,17.131298065185547,0.7112404108047485,16.374404907226562,16.05122184753418,0.24069638550281525,0.04270552471280098,0.18954913318157196,0.1768491566181183,0.9996880292892456,2.115399547619745e-05,0.9996612668037415,0.9996498823165894,0.904674232006073,0.04873050004243851,0.8440452814102173,0.8183184266090393
tokenizer_cond,posthoc_eval_only,uma,tokenizer_cond,16.98126792907715,0.8220471143722534,16.136371612548828,15.748448371887207,0.23654384911060333,0.04196508228778839,0.18761418759822845,0.1745910793542862,0.9996876120567322,2.182202661060728e-05,0.9996607303619385,0.9996464252471924,0.9011998772621155,0.04910113662481308,0.8388632535934448,0.8061029314994812
no_token,posthoc_eval_only,awgn,diffusion_no_token,17.301610946655273,0.605834424495697,16.623300552368164,16.431819915771484,0.2516036331653595,0.04315713793039322,0.2004881501197815,0.18787001073360443,0.9996858835220337,2.1275360268191434e-05,0.9996601343154907,0.9996491074562073,0.8989949226379395,0.05230368301272392,0.8320754170417786,0.8132547736167908
no_token,posthoc_eval_only,rayleigh,diffusion_no_token,17.04764175415039,0.9687846899032593,16.286235809326172,15.83941650390625,0.23560908436775208,0.045901838690042496,0.18255269527435303,0.1637507528066635,0.9996869564056396,2.2793396055931225e-05,0.9996590614318848,0.9996435046195984,0.9027342200279236,0.050814684480428696,0.831495463848114,0.8078017830848694
no_token,posthoc_eval_only,rician,diffusion_no_token,17.22701644897461,0.6162214875221252,16.493995666503906,16.29718589782715,0.2419508844614029,0.04168255254626274,0.1913142055273056,0.1794898957014084,0.9996886253356934,2.0813653463847004e-05,0.9996628761291504,0.9996526837348938,0.9033558964729309,0.04785119369626045,0.8313677906990051,0.8018749952316284
no_token,posthoc_eval_only,tdl,diffusion_no_token,17.083419799804688,0.7695002555847168,16.306564331054688,15.949223518371582,0.2393856942653656,0.04212893918156624,0.18911239504814148,0.17705801129341125,0.9996879696846008,2.1320205632946454e-05,0.999661386013031,0.9996490478515625,0.9015136957168579,0.04644472897052765,0.8415917158126831,0.8139175176620483
