channel,snr_db,mode,psnr_mean,psnr_std,psnr_p10,psnr_p05,ssim_mean,ssim_std,ssim_p10,ssim_p05,latent_cosine_mean,latent_cosine_std,latent_cosine_p10,latent_cosine_p05,latent_cka_mean,latent_cka_std,latent_cka_p10,latent_cka_p05
awgn,0,baseline,17.728342056274414,0.5979306697845459,16.990257263183594,16.72369956970215,0.2670551836490631,0.03701986372470856,0.22273075580596924,0.20972482860088348,0.9997311234474182,2.611431773402728e-05,0.9996973276138306,0.9996819496154785,0.9327119588851929,0.03345867991447449,0.8908358216285706,0.8617749810218811
awgn,0,tokenizer_cond,16.905614852905273,0.5278193950653076,16.297245025634766,16.100521087646484,0.23548176884651184,0.03759819641709328,0.1908700168132782,0.1802154928445816,0.9996761679649353,2.2782965970691293e-05,0.999647319316864,0.9996341466903687,0.9123086333274841,0.044703610241413116,0.852203905582428,0.8254152536392212
awgn,0,diffusion_no_token,16.903825759887695,0.5180563926696777,16.317081451416016,16.12604331970215,0.23535096645355225,0.037825413048267365,0.19068367779254913,0.17902123928070068,0.9996758699417114,2.2632153559243307e-05,0.9996466636657715,0.9996346235275269,0.9087800979614258,0.04371793568134308,0.8510674238204956,0.8289162516593933
awgn,0,diffusion_token,22.39333724975586,1.1972758769989014,20.8477840423584,20.32795524597168,0.5684289932250977,0.05045637860894203,0.504034698009491,0.4831341803073883,0.9999142289161682,2.4135511921485886e-05,0.9998831748962402,0.9998708963394165,0.6798635721206665,0.11265107244253159,0.5325331687927246,0.5062667727470398
awgn,3,baseline,18.13727378845215,0.6468698382377625,17.340900421142578,17.106101989746094,0.2847557067871094,0.04075336456298828,0.23571208119392395,0.22390614449977875,0.9997439384460449,2.298175786563661e-05,0.9997150897979736,0.999701976776123,0.9287556409835815,0.03745170310139656,0.8870872259140015,0.8572409152984619
awgn,3,tokenizer_cond,17.150096893310547,0.562666118144989,16.515228271484375,16.320148468017578,0.24550989270210266,0.04042141139507294,0.1970708817243576,0.1858154833316803,0.9996829032897949,2.1618479877361096e-05,0.9996557235717773,0.999643862247467,0.9057353734970093,0.04998327046632767,0.8290076851844788,0.8054441809654236
awgn,3,diffusion_no_token,17.15087890625,0.5602458715438843,16.51783561706543,16.328109741210938,0.2452654093503952,0.040640901774168015,0.19681300222873688,0.18371881544589996,0.9996827840805054,2.1633772121276706e-05,0.9996554851531982,0.9996438026428223,0.9055637121200562,0.04695558175444603,0.8343398571014404,0.815990686416626
awgn,3,diffusion_token,23.40463638305664,1.2942819595336914,21.742008209228516,21.136241912841797,0.6171008348464966,0.05226859822869301,0.5516687035560608,0.5252237319946289,0.9999207258224487,2.3338068785960786e-05,0.9998905658721924,0.9998778104782104,0.6721218824386597,0.11455853283405304,0.5160954594612122,0.49058037996292114
awgn,6,baseline,18.403493881225586,0.6768395900726318,17.595745086669922,17.330392837524414,0.29614758491516113,0.04401128366589546,0.244379922747612,0.22955849766731262,0.9997519254684448,2.139582284144126e-05,0.9997244477272034,0.9997134208679199,0.9272704124450684,0.0393068827688694,0.8703794479370117,0.8430742621421814
awgn,6,tokenizer_cond,17.294288635253906,0.5910142064094543,16.620338439941406,16.45386505126953,0.2514471709728241,0.04260256886482239,0.20110297203063965,0.18869571387767792,0.9996857643127441,2.1181966076255776e-05,0.9996585845947266,0.9996495246887207,0.9007803201675415,0.04833383858203888,0.8364861607551575,0.8132129907608032
awgn,6,diffusion_no_token,17.283334732055664,0.5897938013076782,16.62286376953125,16.417367935180664,0.2510368824005127,0.04256068915128708,0.20089350640773773,0.18804973363876343,0.9996859431266785,2.0800125639652833e-05,0.9996600151062012,0.9996496438980103,0.9082332849502563,0.0458415225148201,0.8502722382545471,0.8264977931976318
awgn,6,diffusion_token,24.177892684936523,1.4090077877044678,22.353944778442383,21.739871978759766,0.6522845029830933,0.055102404206991196,0.5826193690299988,0.5574694871902466,0.9999248385429382,2.27136133617023e-05,0.9998950958251953,0.9998819231987,0.6775494813919067,0.11664723604917526,0.5249946117401123,0.5005481839179993
awgn,9,baseline,18.524337768554688,0.6936392188072205,17.73147201538086,17.495208740234375,0.30075398087501526,0.04582376405596733,0.2457883656024933,0.23092733323574066,0.9997553825378418,2.0099065295653418e-05,0.9997308254241943,0.9997178316116333,0.9268531799316406,0.03487949073314667,0.8815621137619019,0.8565676808357239
awgn,9,tokenizer_cond,17.35194206237793,0.6115362644195557,16.6660099029541,16.483774185180664,0.2539388835430145,0.043656159192323685,0.20154955983161926,0.1889549195766449,0.9996874332427979,2.0742603737744503e-05,0.9996623992919922,0.9996508359909058,0.9034101963043213,0.04832082986831665,0.8319729566574097,0.8034887313842773
awgn,9,diffusion_no_token,17.354413986206055,0.6065148711204529,16.682939529418945,16.50299644470215,0.2541462182998657,0.04382801800966263,0.20295116305351257,0.18890413641929626,0.9996876120567322,2.0011402739328332e-05,0.9996626973152161,0.9996520280838013,0.9043346047401428,0.04611731320619583,0.8404299020767212,0.8148089051246643
